Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0032502 developmental process,-3.1,3.2,4.1,21160,415,177,11,6.2,1.8,12487|12504|12769|15900|16071|16182|16842|18089|18574|18733|19373,Cd28|Cd4|Ccr9|Irf8|Igkc|Il18r1|Lef1|Nkx2-3|Pde1b|Pirb|Rag1,-0.76,MyList
GO Biological Processes,19,GO:0052548,regulation of endopeptidase activity,19_GO:0050789 regulation of biological process,-3.1,3.7,4.3,21160,290,177,9,5.1,1.7,15370|17002|17395|19373|20201|20202|21825|22436|208117,Nr4a1|Ltf|Mmp9|Rag1|S100a8|S100a9|Thbs1|Xdh|Aph1b,-0.76,MyList
GO Biological Processes,19,GO:0002251,organ or tissue specific immune response,19_GO:0002376 immune system process,-3.1,7,5.1,21160,86,177,5,2.8,1.2,12796|13586|13587|17002|238447,Camp|Ear1|Ear2|Ltf|Igha,-0.76,MyList
GO Biological Processes,19,GO:2000117,negative regulation of cysteine-type endopeptidase activity,19_GO:0048519 negative regulation of biological process,-3.1,7,5.1,21160,86,177,5,2.8,1.2,15370|17002|17395|19373|21825,Nr4a1|Ltf|Mmp9|Rag1|Thbs1,-0.76,MyList
GO Biological Processes,19,GO:0032693,negative regulation of interleukin-10 production,19_GO:0048519 negative regulation of biological process,-3.1,16,6.6,21160,22,177,3,1.7,0.97,13861|14728|19074,Epx|Lilrb4a|Prg2,-0.76,MyList
GO Biological Processes,19,GO:0032814,regulation of natural killer cell activation,19_GO:0002376 immune system process,-3.1,9.6,5.6,21160,50,177,4,2.3,1.1,14191|14728|19419|57757,Fgr|Lilrb4a|Rasgrp1|Pglyrp2,-0.76,MyList
GO Biological Processes,19,GO:0009636,response to toxic substance,19_GO:0050896 response to stimulus,-3.1,4.1,4.4,21160,234,177,8,4.5,1.6,13861|14871|16819|20201|20202|74104|99382|226781,Epx|Gstt1|Lcn2|S100a8|S100a9|Abcb6|Abtb2|Slc30a10,-0.76,MyList
GO Biological Processes,19,GO:0002687,positive regulation of leukocyte migration,19_GO:0040011 locomotion,-3.1,4.6,4.5,21160,180,177,7,4,1.5,11501|12768|14289|17395|19204|21825|27226,Adam8|Ccr1|Fpr2|Mmp9|Ptafr|Thbs1|Pla2g7,-0.76,MyList
GO Biological Processes,19,GO:0050766,positive regulation of phagocytosis,19_GO:0051179 localization,-3.1,6.9,5,21160,87,177,5,2.8,1.2,14134|14289|16016|216190|246746,Fcnb|Fpr2|Ighg2b|Appl2|Cd300lf,-0.76,MyList
Reactome Gene Sets,6,R-MMU-388396,GPCR downstream signalling,,-3.1,2.8,3.9,21160,556,177,13,7.3,2,11555|12768|12769|12771|14289|18574|19204|20305|23939|54393|78826|328967|380921,Adrb2|Ccr1|Ccr9|Ccr3|Fpr2|Pde1b|Ptafr|Ccl6|Mapk7|Gabbr1|P2ry10|Arhgef37|Dgkh,-0.76,MyList
GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-3.1,4.1,4.3,21160,236,177,8,4.5,1.6,11501|12504|12768|14728|16842|17002|20259|93686,Adam8|Cd4|Ccr1|Lilrb4a|Lef1|Ltf|Scin|Rbfox2,-0.75,MyList
GO Biological Processes,19,GO:0042113,B cell activation,19_GO:0002376 immune system process,-3.1,4,4.3,21160,237,177,8,4.5,1.6,15900|16071|16842|18089|19373|19419|240754|242248,Irf8|Igkc|Lef1|Nkx2-3|Rag1|Rasgrp1|Lax1|Bank1,-0.74,MyList
GO Biological Processes,19,GO:0002833,positive regulation of response to biotic stimulus,19_GO:0048518 positive regulation of biological process,-3,3.3,4.1,21160,361,177,10,5.6,1.7,11501|14134|14289|17002|17084|19419|233046|244183|246746|414084,Adam8|Fcnb|Fpr2|Ltf|Ly86|Rasgrp1|Rasgrp4|Trim30b|Cd300lf|Tnip3,-0.72,MyList
GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-3,4.5,4.4,21160,187,177,7,4,1.5,11501|12504|16842|18089|18574|18733|246746,Adam8|Cd4|Lef1|Nkx2-3|Pde1b|Pirb|Cd300lf,-0.7,MyList
Reactome Gene Sets,6,R-MMU-5668599,RHO GTPases Activate NADPH Oxidases,,-3,15,6.3,21160,24,177,3,1.7,0.97,13058|20201|20202,Cybb|S100a8|S100a9,-0.7,MyList
GO Biological Processes,19,GO:0052372,modulation by symbiont of entry into host,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3,8.9,5.3,21160,54,177,4,2.3,1.1,12504|14134|213002|244183,Cd4|Fcnb|Ifitm6|Trim30b,-0.68,MyList
GO Biological Processes,19,GO:0050792,regulation of viral process,19_GO:0016032 viral process,-3,4.4,4.3,21160,189,177,7,4,1.5,12504|14134|17002|23962|213002|244183|246728,Cd4|Fcnb|Ltf|Oasl2|Ifitm6|Trim30b|Oas2,-0.68,MyList
KEGG Pathway,24,mmu04657,IL-17 signaling pathway - Mus musculus (house mouse),,-3,6.4,4.8,21160,93,177,5,2.8,1.2,16819|17395|20201|20202|23939,Lcn2|Mmp9|S100a8|S100a9|Mapk7,-0.67,MyList
GO Biological Processes,19,GO:0006956,complement activation,19_GO:0002376 immune system process,-2.9,8.7,5.2,21160,55,177,4,2.3,1.1,14134|16016|238447|404711,Fcnb|Ighg2b|Igha|Ighg2c,-0.66,MyList
KEGG Pathway,24,mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),,-2.9,6.3,4.7,21160,95,177,5,2.8,1.2,12768|12769|12771|16182|20305,Ccr1|Ccr9|Ccr3|Il18r1|Ccl6,-0.65,MyList
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.9,3.2,3.9,21160,373,177,10,5.6,1.7,11501|12487|12504|12768|14728|16842|17002|19373|19419|57757,Adam8|Cd28|Cd4|Ccr1|Lilrb4a|Lef1|Ltf|Rag1|Rasgrp1|Pglyrp2,-0.65,MyList
GO Biological Processes,19,GO:0002696,positive regulation of leukocyte activation,19_GO:0002376 immune system process,-2.9,3.2,3.9,21160,377,177,10,5.6,1.7,11501|12182|12487|12504|14728|16842|17394|19373|19419|21825,Adam8|Bst1|Cd28|Cd4|Lilrb4a|Lef1|Mmp8|Rag1|Rasgrp1|Thbs1,-0.62,MyList
GO Biological Processes,19,GO:0002705,positive regulation of leukocyte mediated immunity,19_GO:0002376 immune system process,-2.9,4.2,4.2,21160,197,177,7,4,1.5,12487|16016|16182|19204|19419|68891|233046,Cd28|Ighg2b|Il18r1|Ptafr|Rasgrp1|Cd177|Rasgrp4,-0.6,MyList
Reactome Gene Sets,6,R-MMU-372790,Signaling by GPCR,,-2.9,2.6,3.7,21160,589,177,13,7.3,2,11555|12768|12769|12771|14289|18574|19204|20305|23939|54393|78826|328967|380921,Adrb2|Ccr1|Ccr9|Ccr3|Fpr2|Pde1b|Ptafr|Ccl6|Mapk7|Gabbr1|P2ry10|Arhgef37|Dgkh,-0.6,MyList
GO Biological Processes,19,GO:0002703,regulation of leukocyte mediated immunity,19_GO:0002376 immune system process,-2.8,3.4,3.9,21160,317,177,9,5.1,1.7,12487|14191|14728|16016|16182|19204|19419|68891|233046,Cd28|Fgr|Lilrb4a|Ighg2b|Il18r1|Ptafr|Rasgrp1|Cd177|Rasgrp4,-0.6,MyList
GO Biological Processes,19,GO:0090026,positive regulation of monocyte chemotaxis,19_GO:0040011 locomotion,-2.8,13,5.9,21160,27,177,3,1.7,0.97,12768|14289|27226,Ccr1|Fpr2|Pla2g7,-0.6,MyList
GO Biological Processes,19,GO:0032753,positive regulation of interleukin-4 production,19_GO:0048518 positive regulation of biological process,-2.8,13,5.9,21160,27,177,3,1.7,0.97,12487|13861|19074,Cd28|Epx|Prg2,-0.6,MyList
GO Biological Processes,19,GO:0002685,regulation of leukocyte migration,19_GO:0040011 locomotion,-2.8,3.7,4,21160,257,177,8,4.5,1.6,11501|12182|12768|14289|17395|19204|21825|27226,Adam8|Bst1|Ccr1|Fpr2|Mmp9|Ptafr|Thbs1|Pla2g7,-0.59,MyList
GO Biological Processes,19,GO:0052547,regulation of peptidase activity,19_GO:0050789 regulation of biological process,-2.8,3.4,3.9,21160,319,177,9,5.1,1.7,15370|17002|17395|19373|20201|20202|21825|22436|208117,Nr4a1|Ltf|Mmp9|Rag1|S100a8|S100a9|Thbs1|Xdh|Aph1b,-0.59,MyList
GO Biological Processes,19,GO:1990748,cellular detoxification,19_GO:0098754 detoxification,-2.8,6,4.6,21160,100,177,5,2.8,1.2,13861|14871|20201|20202|74104,Epx|Gstt1|S100a8|S100a9|Abcb6,-0.59,MyList
GO Biological Processes,19,GO:0097530,granulocyte migration,19_GO:0002376 immune system process,-2.8,6,4.6,21160,100,177,5,2.8,1.2,12771|13861|20201|20202|68891,Ccr3|Epx|S100a8|S100a9|Cd177,-0.59,MyList
GO Biological Processes,19,GO:0120162,positive regulation of cold-induced thermogenesis,19_GO:0042592 homeostatic process,-2.8,5.9,4.6,21160,101,177,5,2.8,1.2,11423|11555|16819|19017|216190,Ache|Adrb2|Lcn2|Ppargc1a|Appl2,-0.58,MyList
GO Biological Processes,19,GO:0032496,response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.8,2.9,3.7,21160,455,177,11,6.2,1.8,12796|14728|15370|15900|17084|17394|19204|20201|66107|215257|414084,Camp|Lilrb4a|Nr4a1|Irf8|Ly86|Mmp8|Ptafr|S100a8|Wfdc21|Il36g|Tnip3,-0.58,MyList
GO Biological Processes,19,GO:0002523,leukocyte migration involved in inflammatory response,19_GO:0002376 immune system process,-2.8,13,5.7,21160,28,177,3,1.7,0.97,11501|20201|20202,Adam8|S100a8|S100a9,-0.58,MyList
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-2.8,3.3,3.9,21160,325,177,9,5.1,1.7,12487|12504|12769|15900|16071|16182|16842|18089|19373,Cd28|Cd4|Ccr9|Irf8|Igkc|Il18r1|Lef1|Nkx2-3|Rag1,-0.56,MyList
GO Biological Processes,19,GO:0120161,regulation of cold-induced thermogenesis,19_GO:0042592 homeostatic process,-2.8,4.8,4.2,21160,151,177,6,3.4,1.4,11423|11555|16182|16819|19017|216190,Ache|Adrb2|Il18r1|Lcn2|Ppargc1a|Appl2,-0.56,MyList
WikiPathways,27,WP441,Matrix metalloproteinases,,-2.7,12,5.6,21160,29,177,3,1.7,0.97,17394|17395|240047,Mmp8|Mmp9|Mmp25,-0.55,MyList
GO Biological Processes,19,GO:0045089,positive regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.7,3.3,3.8,21160,329,177,9,5.1,1.7,11501|14134|14289|17002|19419|233046|244183|246746|414084,Adam8|Fcnb|Fpr2|Ltf|Rasgrp1|Rasgrp4|Trim30b|Cd300lf|Tnip3,-0.53,MyList
GO Biological Processes,19,GO:0002253,activation of immune response,19_GO:0002376 immune system process,-2.7,3,3.7,21160,395,177,10,5.6,1.7,12487|14134|14289|16016|238447|240754|244183|246746|404711|414084,Cd28|Fcnb|Fpr2|Ighg2b|Igha|Lax1|Trim30b|Cd300lf|Ighg2c|Tnip3,-0.53,MyList
GO Biological Processes,19,GO:0002761,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-2.7,4.7,4.2,21160,154,177,6,3.4,1.4,11501|12504|12768|14728|16842|17002,Adam8|Cd4|Ccr1|Lilrb4a|Lef1|Ltf,-0.53,MyList
GO Biological Processes,19,GO:0050729,positive regulation of inflammatory response,19_GO:0048518 positive regulation of biological process,-2.7,4.6,4.2,21160,155,177,6,3.4,1.4,11501|12487|16016|17394|20201|20202,Adam8|Cd28|Ighg2b|Mmp8|S100a8|S100a9,-0.52,MyList
WikiPathways,27,WP458,Inflammatory response pathway,,-2.7,12,5.5,21160,30,177,3,1.7,0.97,12487|12843|21825,Cd28|Col1a2|Thbs1,-0.52,MyList
GO Biological Processes,19,GO:0043410,positive regulation of MAPK cascade,19_GO:0048518 positive regulation of biological process,-2.7,2.7,3.6,21160,539,177,12,6.8,1.9,11501|11555|11687|12504|12768|14289|19419|21825|22436|226781|242248|244183,Adam8|Adrb2|Alox15|Cd4|Ccr1|Fpr2|Rasgrp1|Thbs1|Xdh|Slc30a10|Bank1|Trim30b,-0.52,MyList
GO Biological Processes,19,GO:0045071,negative regulation of viral genome replication,19_GO:0016032 viral process,-2.7,7.5,4.8,21160,64,177,4,2.3,1.1,17002|23962|213002|246728,Ltf|Oasl2|Ifitm6|Oas2,-0.52,MyList
GO Biological Processes,19,GO:0032963,collagen metabolic process,19_GO:0009987 cellular process,-2.7,7.5,4.8,21160,64,177,4,2.3,1.1,12843|17394|17395|240047,Col1a2|Mmp8|Mmp9|Mmp25,-0.52,MyList
GO Biological Processes,19,GO:0071677,positive regulation of mononuclear cell migration,19_GO:0040011 locomotion,-2.7,5.6,4.4,21160,107,177,5,2.8,1.2,11501|12768|14289|21825|27226,Adam8|Ccr1|Fpr2|Thbs1|Pla2g7,-0.52,MyList
GO Biological Processes,19,GO:0050867,positive regulation of cell activation,19_GO:0048518 positive regulation of biological process,-2.7,3,3.7,21160,401,177,10,5.6,1.7,11501|12182|12487|12504|14728|16842|17394|19373|19419|21825,Adam8|Bst1|Cd28|Cd4|Lilrb4a|Lef1|Mmp8|Rag1|Rasgrp1|Thbs1,-0.52,MyList
GO Biological Processes,19,GO:0032653,regulation of interleukin-10 production,19_GO:0032501 multicellular organismal process,-2.7,7.4,4.7,21160,65,177,4,2.3,1.1,12487|13861|14728|19074,Cd28|Epx|Lilrb4a|Prg2,-0.51,MyList
GO Biological Processes,19,GO:0002888,positive regulation of myeloid leukocyte mediated immunity,19_GO:0002376 immune system process,-2.7,12,5.4,21160,31,177,3,1.7,0.97,16016|19204|68891,Ighg2b|Ptafr|Cd177,-0.51,MyList
GO Biological Processes,19,GO:0002237,response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.7,2.8,3.6,21160,473,177,11,6.2,1.8,12796|14728|15370|15900|17084|17394|19204|20201|66107|215257|414084,Camp|Lilrb4a|Nr4a1|Irf8|Ly86|Mmp8|Ptafr|S100a8|Wfdc21|Il36g|Tnip3,-0.51,MyList
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-2.6,2.5,3.5,21160,621,177,13,7.3,2,11501|12768|14191|14289|16819|16842|17395|19204|20305|20620|21825|27226|108151,Adam8|Ccr1|Fgr|Fpr2|Lcn2|Lef1|Mmp9|Ptafr|Ccl6|Plk2|Thbs1|Pla2g7|Sema3d,-0.5,MyList
GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-2.6,3.9,3.9,21160,215,177,7,4,1.5,12487|12504|12769|16182|16842|18089|19373,Cd28|Cd4|Ccr9|Il18r1|Lef1|Nkx2-3|Rag1,-0.5,MyList
GO Biological Processes,19,GO:1903038,negative regulation of leukocyte cell-cell adhesion,19_GO:0048519 negative regulation of biological process,-2.6,4.5,4.1,21160,160,177,6,3.4,1.4,11501|14728|20555|20971|208154|240754,Adam8|Lilrb4a|Slfn1|Sdc4|Btla|Lax1,-0.49,MyList
GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-2.6,2.9,3.6,21160,407,177,10,5.6,1.7,11501|11687|12182|12487|14289|16016|17394|20201|20202|57757,Adam8|Alox15|Bst1|Cd28|Fpr2|Ighg2b|Mmp8|S100a8|S100a9|Pglyrp2,-0.49,MyList
GO Biological Processes,19,GO:0071276,cellular response to cadmium ion,19_GO:0050896 response to stimulus,-2.6,11,5.3,21160,32,177,3,1.7,0.97,13058|17395|74104,Cybb|Mmp9|Abcb6,-0.48,MyList
GO Biological Processes,19,GO:0060627,regulation of vesicle-mediated transport,19_GO:0051179 localization,-2.6,2.5,3.4,21160,628,177,13,7.3,2,11687|13821|14134|14191|14289|16016|19204|20620|20971|68891|216190|241062|246746,Alox15|Epb41l1|Fcnb|Fgr|Fpr2|Ighg2b|Ptafr|Plk2|Sdc4|Cd177|Appl2|Pgap1|Cd300lf,-0.47,MyList
GO Biological Processes,19,GO:1903039,positive regulation of leukocyte cell-cell adhesion,19_GO:0048518 positive regulation of biological process,-2.6,3.4,3.7,21160,279,177,8,4.5,1.6,11501|12487|12504|14728|16842|19204|19373|19419,Adam8|Cd28|Cd4|Lilrb4a|Lef1|Ptafr|Rag1|Rasgrp1,-0.47,MyList
GO Biological Processes,19,GO:0022408,negative regulation of cell-cell adhesion,19_GO:0048519 negative regulation of biological process,-2.6,3.8,3.9,21160,219,177,7,4,1.5,11501|14728|20555|20971|23939|208154|240754,Adam8|Lilrb4a|Slfn1|Sdc4|Mapk7|Btla|Lax1,-0.47,MyList
GO Biological Processes,19,GO:0070098,chemokine-mediated signaling pathway,19_GO:0050896 response to stimulus,-2.6,7,4.6,21160,68,177,4,2.3,1.1,12768|12769|12771|20305,Ccr1|Ccr9|Ccr3|Ccl6,-0.47,MyList
GO Biological Processes,19,GO:0035455,response to interferon-alpha,19_GO:0050896 response to stimulus,-2.6,11,5.2,21160,33,177,3,1.7,0.97,15957|21822|213002,Ifit1|Tgtp1|Ifitm6,-0.46,MyList
GO Biological Processes,19,GO:0031664,regulation of lipopolysaccharide-mediated signaling pathway,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.6,11,5.2,21160,33,177,3,1.7,0.97,17002|17084|244183,Ltf|Ly86|Trim30b,-0.46,MyList
GO Biological Processes,19,GO:1903708,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-2.6,3.8,3.8,21160,221,177,7,4,1.5,11501|12504|12768|14728|16842|19373|19419,Adam8|Cd4|Ccr1|Lilrb4a|Lef1|Rag1|Rasgrp1,-0.46,MyList
GO Biological Processes,19,GO:1902107,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.6,3.8,3.8,21160,221,177,7,4,1.5,11501|12504|12768|14728|16842|19373|19419,Adam8|Cd4|Ccr1|Lilrb4a|Lef1|Rag1|Rasgrp1,-0.46,MyList
GO Biological Processes,19,GO:0002227,innate immune response in mucosa,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.6,6.9,4.5,21160,69,177,4,2.3,1.1,12796|13586|13587|17002,Camp|Ear1|Ear2|Ltf,-0.46,MyList
GO Biological Processes,19,GO:0035458,cellular response to interferon-beta,19_GO:0050896 response to stimulus,-2.5,6.8,4.5,21160,70,177,4,2.3,1.1,15957|21822|60440|620913,Ifit1|Tgtp1|Iigp1|Gm12185,-0.44,MyList
GO Biological Processes,19,GO:0034121,regulation of toll-like receptor signaling pathway,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.5,11,5.1,21160,34,177,3,1.7,0.97,20201|20202|246746,S100a8|S100a9|Cd300lf,-0.44,MyList
GO Biological Processes,19,GO:0030100,regulation of endocytosis,19_GO:0051179 localization,-2.5,3.1,3.6,21160,352,177,9,5.1,1.7,11687|14134|14191|14289|16016|20620|68891|216190|246746,Alox15|Fcnb|Fgr|Fpr2|Ighg2b|Plk2|Cd177|Appl2|Cd300lf,-0.43,MyList
GO Biological Processes,19,GO:0002719,negative regulation of cytokine production involved in immune response,19_GO:0002376 immune system process,-2.5,10,5,21160,35,177,3,1.7,0.97,13861|14728|19074,Epx|Lilrb4a|Prg2,-0.42,MyList
GO Biological Processes,19,GO:0046597,negative regulation of viral entry into host cell,19_GO:0016032 viral process,-2.5,10,5,21160,35,177,3,1.7,0.97,14134|213002|244183,Fcnb|Ifitm6|Trim30b,-0.42,MyList
GO Biological Processes,19,GO:0090025,regulation of monocyte chemotaxis,19_GO:0040011 locomotion,-2.5,10,5,21160,35,177,3,1.7,0.97,12768|14289|27226,Ccr1|Fpr2|Pla2g7,-0.42,MyList
GO Biological Processes,19,GO:0043277,apoptotic cell clearance,19_GO:0051179 localization,-2.5,10,5,21160,35,177,3,1.7,0.97,11687|14134|21825,Alox15|Fcnb|Thbs1,-0.42,MyList
GO Biological Processes,19,GO:0042060,wound healing,19_GO:0050896 response to stimulus,-2.5,3.3,3.6,21160,290,177,8,4.5,1.6,11687|13518|14728|19124|20971|74145|76905|226101,Alox15|Dst|Lilrb4a|Procr|Sdc4|F13a1|Lrg1|Myof,-0.42,MyList
WikiPathways,27,WP189,GPCRs class A rhodopsin like,,-2.5,3.7,3.7,21160,228,177,7,4,1.5,11555|12768|12769|12771|14289|19204|54393,Adrb2|Ccr1|Ccr9|Ccr3|Fpr2|Ptafr|Gabbr1,-0.42,MyList
GO Biological Processes,19,GO:0098869,cellular oxidant detoxification,19_GO:0098754 detoxification,-2.5,6.6,4.4,21160,73,177,4,2.3,1.1,13861|14871|20201|20202,Epx|Gstt1|S100a8|S100a9,-0.41,MyList
GO Biological Processes,19,GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,19_GO:0048519 negative regulation of biological process,-2.5,6.6,4.4,21160,73,177,4,2.3,1.1,14728|17002|26888|225884,Lilrb4a|Ltf|Clec4a2|Gstp3,-0.41,MyList
GO Biological Processes,19,GO:0050869,negative regulation of B cell activation,19_GO:0002376 immune system process,-2.5,10,4.9,21160,36,177,3,1.7,0.97,14728|208154|242248,Lilrb4a|Btla|Bank1,-0.41,MyList
GO Biological Processes,19,GO:0030574,collagen catabolic process,19_GO:0009987 cellular process,-2.5,10,4.9,21160,36,177,3,1.7,0.97,17394|17395|240047,Mmp8|Mmp9|Mmp25,-0.41,MyList
Reactome Gene Sets,6,R-MMU-140877,Formation of Fibrin Clot (Clotting Cascade),,-2.5,10,4.9,21160,36,177,3,1.7,0.97,19124|68891|74145,Procr|Cd177|F13a1,-0.41,MyList
GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-2.5,2.4,3.3,21160,651,177,13,7.3,2,11501|12768|14191|14289|16819|16842|17395|19204|20305|20620|21825|27226|108151,Adam8|Ccr1|Fgr|Fpr2|Lcn2|Lef1|Mmp9|Ptafr|Ccl6|Plk2|Thbs1|Pla2g7|Sema3d,-0.41,MyList
GO Biological Processes,19,GO:0050878,regulation of body fluid levels,19_GO:0065007 biological regulation,-2.5,3,3.5,21160,360,177,9,5.1,1.7,11555|14728|18089|19124|20202|21825|22436|74145|246728,Adrb2|Lilrb4a|Nkx2-3|Procr|S100a9|Thbs1|Xdh|F13a1|Oas2,-0.41,MyList
GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-2.5,3.6,3.7,21160,233,177,7,4,1.5,11501|12487|14728|16842|19373|19419|57757,Adam8|Cd28|Lilrb4a|Lef1|Rag1|Rasgrp1|Pglyrp2,-0.39,MyList
GO Biological Processes,19,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,19_GO:0050896 response to stimulus,-2.4,3.2,3.5,21160,297,177,8,4.5,1.6,11501|12487|14191|19419|21825|22436|83557|242248,Adam8|Cd28|Fgr|Rasgrp1|Thbs1|Xdh|Lin28a|Bank1,-0.39,MyList
GO Biological Processes,19,GO:0002886,regulation of myeloid leukocyte mediated immunity,19_GO:0002376 immune system process,-2.4,6.4,4.3,21160,75,177,4,2.3,1.1,14191|16016|19204|68891,Fgr|Ighg2b|Ptafr|Cd177,-0.39,MyList
GO Biological Processes,19,GO:0043302,positive regulation of leukocyte degranulation,19_GO:0002376 immune system process,-2.4,9.7,4.9,21160,37,177,3,1.7,0.97,14191|19204|68891,Fgr|Ptafr|Cd177,-0.39,MyList
GO Biological Processes,19,GO:0002768,immune response-regulating cell surface receptor signaling pathway,19_GO:0002376 immune system process,-2.4,3.5,3.6,21160,237,177,7,4,1.5,12487|14134|14289|14728|208154|240754|414084,Cd28|Fcnb|Fpr2|Lilrb4a|Btla|Lax1|Tnip3,-0.36,MyList
Reactome Gene Sets,6,R-MMU-1474228,Degradation of the extracellular matrix,,-2.4,4.8,3.9,21160,124,177,5,2.8,1.2,11501|12843|17394|17395|240047,Adam8|Col1a2|Mmp8|Mmp9|Mmp25,-0.36,MyList
GO Biological Processes,19,GO:0006958,"complement activation, classical pathway",19_GO:0002376 immune system process,-2.4,9.4,4.8,21160,38,177,3,1.7,0.97,16016|238447|404711,Ighg2b|Igha|Ighg2c,-0.36,MyList
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-2.4,2.3,3.2,21160,668,177,13,7.3,2,11501|12768|14191|14289|16819|16842|17395|19204|20305|20620|21825|27226|108151,Adam8|Ccr1|Fgr|Fpr2|Lcn2|Lef1|Mmp9|Ptafr|Ccl6|Plk2|Thbs1|Pla2g7|Sema3d,-0.34,MyList
GO Biological Processes,19,GO:0001776,leukocyte homeostasis,19_GO:0042592 homeostatic process,-2.4,4.7,3.8,21160,127,177,5,2.8,1.2,14013|14728|18089|18733|19373,Mecom|Lilrb4a|Nkx2-3|Pirb|Rag1,-0.33,MyList
GO Biological Processes,19,GO:1990868,response to chemokine,19_GO:0050896 response to stimulus,-2.4,6.1,4.1,21160,79,177,4,2.3,1.1,12768|12769|12771|20305,Ccr1|Ccr9|Ccr3|Ccl6,-0.33,MyList
GO Biological Processes,19,GO:1990869,cellular response to chemokine,19_GO:0050896 response to stimulus,-2.4,6.1,4.1,21160,79,177,4,2.3,1.1,12768|12769|12771|20305,Ccr1|Ccr9|Ccr3|Ccl6,-0.33,MyList
GO Biological Processes,19,GO:1903901,negative regulation of viral life cycle,19_GO:0016032 viral process,-2.3,9,4.6,21160,40,177,3,1.7,0.97,14134|213002|244183,Fcnb|Ifitm6|Trim30b,-0.31,MyList
GO Biological Processes,19,GO:0045766,positive regulation of angiogenesis,19_GO:0032502 developmental process,-2.3,3.9,3.6,21160,184,177,6,3.4,1.4,12771|12796|13058|17395|21825|76905,Ccr3|Camp|Cybb|Mmp9|Thbs1|Lrg1,-0.31,MyList
GO Biological Processes,19,GO:0045582,positive regulation of T cell differentiation,19_GO:0002376 immune system process,-2.3,4.6,3.8,21160,129,177,5,2.8,1.2,11501|14728|16842|19373|19419,Adam8|Lilrb4a|Lef1|Rag1|Rasgrp1,-0.31,MyList
GO Biological Processes,19,GO:0009615,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.3,2.8,3.3,21160,378,177,9,5.1,1.7,15957|16819|17086|21822|23962|67775|213002|244183|246728,Ifit1|Lcn2|Ncr1|Tgtp1|Oasl2|Rtp4|Ifitm6|Trim30b|Oas2,-0.31,MyList
GO Biological Processes,19,GO:1904018,positive regulation of vasculature development,19_GO:0032502 developmental process,-2.3,3.8,3.6,21160,187,177,6,3.4,1.4,12771|12796|13058|17395|21825|76905,Ccr3|Camp|Cybb|Mmp9|Thbs1|Lrg1,-0.28,MyList
GO Biological Processes,19,GO:0042130,negative regulation of T cell proliferation,19_GO:0002376 immune system process,-2.3,5.8,4,21160,82,177,4,2.3,1.1,14728|20555|20971|208154,Lilrb4a|Slfn1|Sdc4|Btla,-0.28,MyList
GO Biological Processes,19,GO:0032649,regulation of type II interferon production,19_GO:0032501 multicellular organismal process,-2.3,4.5,3.7,21160,132,177,5,2.8,1.2,14728|15900|16182|19419|57757,Lilrb4a|Irf8|Il18r1|Rasgrp1|Pglyrp2,-0.28,MyList
GO Biological Processes,19,GO:0060325,face morphogenesis,19_GO:0032502 developmental process,-2.3,8.5,4.5,21160,42,177,3,1.7,0.97,16842|78892|83691,Lef1|Crispld2|Crispld1,-0.27,MyList
