Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList_MCODE_ALL,GO Biological Processes,19,GO:0061515,myeloid cell development,19_GO:0032502 developmental process,-11,1e+02,25,21160,96,13,6,46,14,11733|13828|15122|19743|20533|110257,Ank1|Epb42|Hba-a1|Rhag|Slc4a1|Hba-a2,-7.1
MyList_MCODE_ALL,GO Biological Processes,19,GO:0030218,erythrocyte differentiation,19_GO:0042592 homeostatic process,-10,73,21,21160,134,13,6,46,14,11733|13828|15122|19743|20533|110257,Ank1|Epb42|Hba-a1|Rhag|Slc4a1|Hba-a2,-6.5
MyList_MCODE_ALL,GO Biological Processes,19,GO:0034101,erythrocyte homeostasis,19_GO:0042592 homeostatic process,-9.8,66,20,21160,147,13,6,46,14,11733|13828|15122|19743|20533|110257,Ank1|Epb42|Hba-a1|Rhag|Slc4a1|Hba-a2,-6.4
MyList_MCODE_ALL,Reactome Gene Sets,6,R-MMU-2168880,Scavenging of heme from plasma,,-9.2,3e+02,34,21160,22,13,4,31,13,245282|328563|626615|101488143,Apol10a|Apol11b|Apol11a|Hbb-bt,-5.9
MyList_MCODE_ALL,GO Biological Processes,19,GO:0002262,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-9.1,52,17,21160,187,13,6,46,14,11733|13828|15122|19743|20533|110257,Ank1|Epb42|Hba-a1|Rhag|Slc4a1|Hba-a2,-5.9
MyList_MCODE_ALL,GO Biological Processes,19,GO:0042744,hydrogen peroxide catabolic process,19_GO:0009987 cellular process,-8.8,2.4e+02,31,21160,27,13,4,31,13,15122|216635|544763|101488143,Hba-a1|Hbq1a|Hbq1b|Hbb-bt,-5.7
MyList_MCODE_ALL,Reactome Gene Sets,6,R-MMU-2173782,Binding and Uptake of Ligands by Scavenger Receptors,,-8.4,1.9e+02,27,21160,35,13,4,31,13,245282|328563|626615|101488143,Apol10a|Apol11b|Apol11a|Hbb-bt,-5.3
MyList_MCODE_ALL,Reactome Gene Sets,6,R-MMU-1247673,Erythrocytes take up oxygen and release carbon dioxide,,-8,6.1e+02,43,21160,8,13,3,23,12,19743|20533|101488143,Rhag|Slc4a1|Hbb-bt,-5
MyList_MCODE_ALL,GO Biological Processes,19,GO:0042743,hydrogen peroxide metabolic process,19_GO:0009987 cellular process,-7.9,1.4e+02,24,21160,45,13,4,31,13,15122|216635|544763|101488143,Hba-a1|Hbq1a|Hbq1b|Hbb-bt,-5
MyList_MCODE_ALL,GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-7.4,27,12,21160,361,13,6,46,14,11733|13828|15122|19743|20533|110257,Ank1|Epb42|Hba-a1|Rhag|Slc4a1|Hba-a2,-4.6
MyList_MCODE_ALL,Reactome Gene Sets,6,R-MMU-1237044,Erythrocytes take up carbon dioxide and release oxygen,,-7.4,4.1e+02,35,21160,12,13,3,23,12,19743|20533|101488143,Rhag|Slc4a1|Hbb-bt,-4.6
MyList_MCODE_ALL,Reactome Gene Sets,6,R-MMU-1480926,O2/CO2 exchange in erythrocytes,,-7.4,4.1e+02,35,21160,12,13,3,23,12,19743|20533|101488143,Rhag|Slc4a1|Hbb-bt,-4.6
MyList_MCODE_ALL,GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-7.3,25,12,21160,385,13,6,46,14,11733|13828|15122|19743|20533|110257,Ank1|Epb42|Hba-a1|Rhag|Slc4a1|Hba-a2,-4.5
MyList_MCODE_ALL,KEGG Pathway,24,mmu05144,Malaria - Mus musculus (house mouse),,-6.9,85,18,21160,77,13,4,31,13,14934|15122|110257|101488143,Gypa|Hba-a1|Hba-a2|Hbb-bt,-4.2
MyList_MCODE_ALL,GO Biological Processes,19,GO:0072593,reactive oxygen species metabolic process,19_GO:0009987 cellular process,-6.1,53,14,21160,123,13,4,31,13,15122|216635|544763|101488143,Hba-a1|Hbq1a|Hbq1b|Hbb-bt,-3.5
MyList_MCODE_ALL,GO Biological Processes,19,GO:0060586,multicellular organismal-level iron ion homeostasis,19_GO:0042592 homeostatic process,-5.9,1.4e+02,20,21160,35,13,3,23,12,11733|13828|19743,Ank1|Epb42|Rhag,-3.4
MyList_MCODE_ALL,KEGG Pathway,24,mmu05143,African trypanosomiasis - Mus musculus (house mouse),,-5.8,1.3e+02,19,21160,39,13,3,23,12,15122|110257|101488143,Hba-a1|Hba-a2|Hbb-bt,-3.2
MyList_MCODE_ALL,Reactome Gene Sets,6,R-MMU-5653656,Vesicle-mediated transport,,-4.8,14,8,21160,567,13,5,38,13,11733|245282|328563|626615|101488143,Ank1|Apol10a|Apol11b|Apol11a|Hbb-bt,-2.4
MyList_MCODE_ALL,GO Biological Processes,19,GO:0140962,multicellular organismal-level chemical homeostasis,19_GO:0042592 homeostatic process,-4.6,53,12,21160,93,13,3,23,12,11733|13828|19743,Ank1|Epb42|Rhag,-2.2
MyList_MCODE_ALL,Reactome Gene Sets,6,R-MMU-8957275,Post-translational protein phosphorylation,,-4.4,44,11,21160,112,13,3,23,12,245282|328563|626615,Apol10a|Apol11b|Apol11a,-2
MyList_MCODE_ALL,Reactome Gene Sets,6,R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,-4.3,41,11,21160,118,13,3,23,12,245282|328563|626615,Apol10a|Apol11b|Apol11a,-1.9
MyList_MCODE_ALL,GO Biological Processes,19,GO:0055080,monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-3.6,12,6.5,21160,536,13,4,31,13,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-1.3
MyList_MCODE_ALL,GO Biological Processes,19,GO:0050801,monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-3.6,12,6.4,21160,549,13,4,31,13,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-1.3
MyList_MCODE_ALL,GO Biological Processes,19,GO:0098660,inorganic ion transmembrane transport,19_GO:0051179 localization,-3.1,8.9,5.4,21160,728,13,4,31,13,11733|19743|20533|626615,Ank1|Rhag|Slc4a1|Apol11a,-0.87
MyList_MCODE_ALL,GO Biological Processes,19,GO:0098771,inorganic ion homeostasis,19_GO:0042592 homeostatic process,-2.6,11,5.1,21160,465,13,3,23,12,11733|13828|19743,Ank1|Epb42|Rhag,-0.41
MyList_MCODE_ALL,Reactome Gene Sets,6,R-MMU-382551,Transport of small molecules,,-2.2,7.7,4.2,21160,638,13,3,23,12,19743|20533|101488143,Rhag|Slc4a1|Hbb-bt,-0.096
MyList_SUB2_MCODE_1,GO Biological Processes,19,GO:0042744,hydrogen peroxide catabolic process,19_GO:0009987 cellular process,-11,6.3e+02,50,21160,27,5,4,80,18,15122|216635|544763|101488143,Hba-a1|Hbq1a|Hbq1b|Hbb-bt,-7.1
MyList_SUB2_MCODE_1,GO Biological Processes,19,GO:0042743,hydrogen peroxide metabolic process,19_GO:0009987 cellular process,-10,3.8e+02,39,21160,45,5,4,80,18,15122|216635|544763|101488143,Hba-a1|Hbq1a|Hbq1b|Hbb-bt,-6.5
MyList_SUB2_MCODE_1,GO Biological Processes,19,GO:0072593,reactive oxygen species metabolic process,19_GO:0009987 cellular process,-8.3,1.4e+02,23,21160,123,5,4,80,18,15122|216635|544763|101488143,Hba-a1|Hbq1a|Hbq1b|Hbb-bt,-5.2
MyList_SUB2_MCODE_1,KEGG Pathway,24,mmu05143,African trypanosomiasis - Mus musculus (house mouse),,-7.2,3.3e+02,31,21160,39,5,3,60,22,15122|110257|101488143,Hba-a1|Hba-a2|Hbb-bt,-4.5
MyList_SUB2_MCODE_1,KEGG Pathway,24,mmu05144,Malaria - Mus musculus (house mouse),,-6.3,1.6e+02,22,21160,77,5,3,60,22,15122|110257|101488143,Hba-a1|Hba-a2|Hbb-bt,-3.7
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0048821,erythrocyte development,19_GO:0042592 homeostatic process,-9.7,3e+02,35,21160,56,5,4,80,18,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-6.3
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0061515,myeloid cell development,19_GO:0032502 developmental process,-8.7,1.8e+02,26,21160,96,5,4,80,18,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-5.6
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0030218,erythrocyte differentiation,19_GO:0042592 homeostatic process,-8.1,1.3e+02,22,21160,134,5,4,80,18,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-5.1
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0034101,erythrocyte homeostasis,19_GO:0042592 homeostatic process,-8,1.2e+02,21,21160,147,5,4,80,18,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-5
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0002262,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-7.5,91,19,21160,187,5,4,80,18,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-4.7
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0060586,multicellular organismal-level iron ion homeostasis,19_GO:0042592 homeostatic process,-7.4,3.6e+02,33,21160,35,5,3,60,22,11733|13828|19743,Ank1|Epb42|Rhag,-4.6
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-6.4,47,14,21160,361,5,4,80,18,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-3.7
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-6.3,44,13,21160,385,5,4,80,18,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-3.6
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0140962,multicellular organismal-level chemical homeostasis,19_GO:0042592 homeostatic process,-6.1,1.4e+02,20,21160,93,5,3,60,22,11733|13828|19743,Ank1|Epb42|Rhag,-3.5
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0055080,monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-5.7,32,11,21160,536,5,4,80,18,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-3.2
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0050801,monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-5.7,31,11,21160,549,5,4,80,18,11733|13828|19743|20533,Ank1|Epb42|Rhag|Slc4a1,-3.2
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0098771,inorganic ion homeostasis,19_GO:0042592 homeostatic process,-4,27,8.8,21160,465,5,3,60,22,11733|13828|19743,Ank1|Epb42|Rhag,-1.6
MyList_SUB3_MCODE_2,GO Biological Processes,19,GO:0098660,inorganic ion transmembrane transport,19_GO:0051179 localization,-3.4,17,6.9,21160,728,5,3,60,22,11733|19743|20533,Ank1|Rhag|Slc4a1,-1.1
MyList_SUB2_MCODE_3,Reactome Gene Sets,6,R-MMU-2168880,Scavenging of heme from plasma,,-9,9.6e+02,54,21160,22,3,3,1e+02,27,245282|328563|626615,Apol10a|Apol11b|Apol11a,-5.8
MyList_SUB2_MCODE_3,Reactome Gene Sets,6,R-MMU-2173782,Binding and Uptake of Ligands by Scavenger Receptors,,-8.4,6e+02,43,21160,35,3,3,1e+02,27,245282|328563|626615,Apol10a|Apol11b|Apol11a,-5.3
MyList_SUB2_MCODE_3,Reactome Gene Sets,6,R-MMU-8957275,Post-translational protein phosphorylation,,-6.8,1.9e+02,24,21160,112,3,3,1e+02,27,245282|328563|626615,Apol10a|Apol11b|Apol11a,-4.1
MyList_SUB2_MCODE_3,Reactome Gene Sets,6,R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,-6.8,1.8e+02,23,21160,118,3,3,1e+02,27,245282|328563|626615,Apol10a|Apol11b|Apol11a,-4.1
MyList_SUB2_MCODE_3,Reactome Gene Sets,6,R-MMU-5653656,Vesicle-mediated transport,,-4.7,37,10,21160,567,3,3,1e+02,27,245282|328563|626615,Apol10a|Apol11b|Apol11a,-2.3
